date;time;temp@1m;umid@1m;temp@3.5m;umid@3.5m
2015-09-01;17:24;32.98;26.12;26.12;36.15
2015-09-01;17:30;32.98;26.77;27.09;35.05
2015-09-01;17:36;32.46;26.45;24.83;36.15
2015-09-01;17:42;33.15;26.45;26.45;35.52
2015-09-01;17:48;33.5;26.77;26.45;34.42
2015-09-01;17:54;32.81;25.8;25.48;36.94
2015-09-01;18:00;34.02;26.45;26.77;35.36
2015-09-01;18:06;33.15;26.77;27.09;34.89
2015-09-01;18:12;33.5;26.77;27.41;34.57
2015-09-01;18:18;32.98;26.45;24.83;35.99
2015-09-01;18:24;32.98;26.12;25.8;36.47
2015-09-01;18:30;33.5;26.45;26.77;35.2
2015-09-01;18:36;33.15;26.77;27.09;34.73
2015-09-01;18:42;32.98;26.77;27.41;34.42
2015-09-01;18:48;33.15;27.09;27.41;34.26
2015-09-01;18:54;32.81;27.09;27.41;34.57
2015-09-01;19:00;33.33;27.09;27.74;34.42
2015-09-01;19:06;33.5;27.09;27.74;34.42
2015-09-01;19:12;33.33;27.09;27.74;34.57
2015-09-01;19:18;34.02;26.12;24.51;38.52
2015-09-01;19:24;33.15;26.12;26.12;36.31
2015-09-01;19:30;32.63;26.45;26.77;35.2
2015-09-01;19:36;33.5;26.77;27.09;34.73
2015-09-01;19:42;32.46;26.77;27.09;34.89
2015-09-01;19:48;32.81;26.77;27.09;34.42
2015-09-01;19:54;32.63;26.77;27.41;34.89
2015-09-01;20:00;33.33;26.77;27.41;34.57
2015-09-01;20:06;32.98;26.77;27.41;34.57
2015-09-01;20:12;32.98;26.77;27.41;34.42
2015-09-01;20:18;33.15;26.77;27.41;34.73
2015-09-01;20:24;33.5;26.77;27.41;35.2
2015-09-01;20:30;33.68;26.77;27.41;35.68
2015-09-01;20:36;34.02;26.77;27.41;35.68
2015-09-01;20:42;34.02;26.77;27.41;35.52
2015-09-01;20:48;34.72;26.77;27.41;35.68
2015-09-01;20:54;34.72;26.77;27.41;35.68
2015-09-01;21:00;35.76;26.77;27.41;35.68
2015-09-01;21:06;35.76;26.77;27.41;35.99
2015-09-01;21:12;36.1;26.77;27.41;35.84
2015-09-01;21:18;36.45;26.77;27.41;35.99
2015-09-01;21:24;36.28;26.77;27.41;35.99
2015-09-01;21:30;37.32;26.77;27.41;35.99
2015-09-01;21:36;36.8;26.77;27.41;36.31
2015-09-01;21:42;37.66;26.77;27.41;36.47
2015-09-01;21:48;37.49;26.77;27.41;36.62
2015-09-01;21:54;37.49;26.77;27.41;36.78
2015-09-01;22:00;37.14;26.77;27.41;36.78
2015-09-01;22:06;36.97;26.77;27.41;36.94
2015-09-01;22:12;36.97;26.77;27.41;37.25
2015-09-01;22:18;37.32;26.77;;
2015-09-01;22:24;37.49;26.77;27.41;37.1
2015-09-01;22:30;38.18;26.77;27.41;37.41
2015-09-01;22:36;37.84;26.77;27.41;37.41
2015-09-01;22:42;38.53;26.77;27.41;37.88
2015-09-01;22:48;38.7;26.77;27.41;37.73
2015-09-01;22:54;38.7;26.77;27.41;38.2
2015-09-01;23:00;38.7;26.77;27.41;38.36
2015-09-01;23:06;39.05;26.77;27.41;38.36
2015-09-01;23:12;38.88;26.77;27.41;38.67
2015-09-01;23:18;39.4;26.77;27.41;38.99
2015-09-01;23:24;39.05;26.77;27.41;38.99
2015-09-01;23:30;39.75;26.77;27.41;38.99
2015-09-01;23:36;39.22;26.77;27.41;38.83
2015-09-01;23:42;39.05;26.77;27.41;38.83
2015-09-01;23:48;39.4;26.77;27.41;38.99
2015-09-01;23:54;39.4;26.77;27.41;39.15
2015-09-02;00:00;39.75;26.77;27.41;38.99
2015-09-02;00:06;39.92;26.77;27.41;39.15
2015-09-02;00:12;40.09;26.77;27.41;39.15
2015-09-02;00:18;39.75;26.77;27.41;39.15
2015-09-02;00:24;39.92;26.77;27.41;39.3
2015-09-02;00:30;40.27;26.77;27.41;39.46
2015-09-02;00:36;40.09;26.77;27.41;39.62
2015-09-02;00:42;39.75;26.77;27.41;39.62
2015-09-02;00:48;40.44;26.77;27.41;39.62
2015-09-02;00:54;;;27.41;39.62
2015-09-02;01:00;40.61;26.77;27.41;39.46
2015-09-02;01:06;39.92;26.77;27.41;39.62
2015-09-02;01:12;40.44;26.77;27.41;39.46
2015-09-02;01:18;40.61;26.77;27.41;39.62
2015-09-02;01:24;40.61;26.77;27.41;39.46
2015-09-02;01:30;40.61;26.77;27.41;39.62
2015-09-02;01:36;41.13;26.77;27.41;39.62
2015-09-02;01:42;40.27;26.77;27.41;39.62
2015-09-02;01:48;40.44;26.77;27.41;39.46
2015-09-02;01:54;40.79;26.77;27.41;39.46
2015-09-02;02:00;40.44;26.77;27.09;39.46
2015-09-02;02:06;41.13;26.77;27.41;39.46
2015-09-02;02:12;40.44;26.77;27.41;39.3
2015-09-02;02:18;40.27;26.77;27.41;39.3
2015-09-02;02:24;40.61;26.77;27.41;39.15
2015-09-02;02:30;40.61;26.77;27.41;39.15
2015-09-02;02:36;40.61;26.77;27.41;39.15
2015-09-02;02:42;40.96;26.77;27.41;39.15
2015-09-02;02:48;40.79;26.77;27.41;39.15
2015-09-02;02:54;40.79;26.77;27.41;39.3
2015-09-02;03:00;40.96;26.77;27.41;39.15
2015-09-02;03:06;40.79;26.77;27.41;39.15
2015-09-02;03:12;40.79;26.77;27.41;39.3
2015-09-02;03:18;40.61;26.77;27.41;39.15
2015-09-02;03:24;40.79;26.77;27.09;39.46
2015-09-02;03:30;40.79;26.77;27.41;39.78
2015-09-02;03:36;41.13;26.77;27.41;39.78
2015-09-02;03:42;40.79;26.45;27.41;39.62
2015-09-02;03:48;40.79;26.77;27.41;39.78
2015-09-02;03:54;40.96;26.77;27.09;39.78
2015-09-02;04:00;41.13;26.45;27.09;39.62
2015-09-02;04:06;40.96;26.45;27.09;39.78
2015-09-02;04:12;41.31;26.77;27.41;39.93
2015-09-02;04:18;41.31;26.45;27.09;39.78
2015-09-02;04:24;40.79;26.45;27.09;39.93
2015-09-02;04:30;41.13;26.45;27.09;39.78
2015-09-02;04:36;40.44;26.45;27.09;39.78
2015-09-02;04:42;40.79;26.45;27.09;39.62
2015-09-02;04:48;40.79;26.45;27.09;39.78
2015-09-02;04:54;40.61;26.45;27.41;40.09
2015-09-02;05:00;41.13;26.77;27.09;40.09
2015-09-02;05:06;41.13;26.45;27.09;39.78
2015-09-02;05:12;41.13;26.45;27.09;39.78
2015-09-02;05:18;40.96;26.45;27.09;40.09
2015-09-02;05:24;41.13;26.45;27.09;39.93
2015-09-02;05:30;41.31;26.45;27.09;40.09
2015-09-02;05:36;41.31;26.45;27.09;40.57
2015-09-02;05:42;40.96;26.45;27.09;40.57
2015-09-02;05:48;41.83;26.45;27.09;40.57
2015-09-02;05:54;41.13;26.45;27.09;40.57
2015-09-02;06:00;40.79;26.45;27.09;40.41
2015-09-02;06:06;41.13;26.45;27.09;40.25
2015-09-02;06:12;41.13;26.45;27.09;40.41
2015-09-02;06:18;40.79;26.45;27.09;40.57
2015-09-02;06:24;41.48;26.45;27.09;40.57
2015-09-02;06:30;41.48;26.45;27.09;40.72
2015-09-02;06:36;41.31;26.45;27.09;40.57
2015-09-02;06:42;41.31;26.12;27.09;40.41
2015-09-02;06:48;41.13;26.45;26.77;40.25
2015-09-02;06:54;41.65;26.45;27.09;40.25
2015-09-02;07:00;41.48;26.45;26.77;40.09
2015-09-02;07:06;41.13;26.45;27.09;40.09
2015-09-02;07:12;41.31;26.45;26.77;40.09
2015-09-02;07:18;40.96;26.45;26.77;39.93
2015-09-02;07:24;41.13;26.45;;
2015-09-02;07:30;41.31;26.45;27.09;40.25
2015-09-02;07:36;40.79;26.45;27.09;40.09
2015-09-02;07:42;40.79;26.45;27.09;40.41
2015-09-02;07:48;40.96;26.45;27.09;40.25
2015-09-02;07:54;41.31;26.45;27.09;40.41
2015-09-02;08:00;41.31;26.45;27.09;40.25
2015-09-02;08:06;40.96;26.12;27.09;40.41
2015-09-02;08:12;41.13;26.45;27.09;40.57
2015-09-02;08:18;41.31;26.45;27.09;40.41
2015-09-02;08:24;40.79;26.45;27.09;40.57
2015-09-02;08:30;40.61;26.45;27.09;40.09
2015-09-02;08:36;41.13;26.45;27.09;40.25
2015-09-02;08:42;40.96;26.45;27.09;40.09
2015-09-02;08:48;41.13;26.45;27.09;39.93
2015-09-02;08:54;40.61;26.45;27.09;40.25
2015-09-02;09:00;40.44;26.77;27.41;40.09
2015-09-02;09:06;40.27;26.77;27.41;39.93
2015-09-02;09:12;40.44;26.77;27.41;39.93
2015-09-02;09:18;40.44;26.77;27.74;39.93
2015-09-02;09:24;40.61;27.09;27.74;39.62
2015-09-02;09:30;39.92;27.09;27.74;39.62
2015-09-02;09:36;39.4;27.09;27.74;39.46
2015-09-02;09:42;39.92;27.09;28.06;39.46
2015-09-02;09:48;40.27;27.41;28.06;39.46
2015-09-02;09:54;39.57;27.41;28.38;39.15
2015-09-02;10:00;39.4;26.77;27.74;38.2
2015-09-02;10:06;38.53;26.45;25.8;41.51
2015-09-02;10:12;38.18;27.09;27.09;39.46
2015-09-02;10:18;37.49;27.09;28.06;38.2
2015-09-02;10:24;36.8;26.45;24.51;40.25
2015-09-02;10:30;36.97;26.77;26.77;39.15
2015-09-02;10:36;35.93;26.45;25.8;37.57
2015-09-02;10:42;36.45;26.77;26.45;38.99
2015-09-02;10:48;35.76;26.77;27.09;36.78
2015-09-02;10:54;36.62;26.45;25.16;40.09
2015-09-02;11:00;36.1;26.45;27.09;37.88
2015-09-02;11:06;36.1;26.12;24.83;39.15
2015-09-02;11:12;35.93;27.09;27.09;37.88
2015-09-02;11:18;36.8;26.12;24.83;38.83
2015-09-02;11:24;36.45;26.77;26.77;37.73
2015-09-02;11:30;35.76;26.45;26.45;36.31
2015-09-02;11:36;36.97;26.45;25.48;39.3
2015-09-02;11:42;35.76;26.77;27.41;36.94
2015-09-02;11:48;35.93;26.45;25.16;38.99
2015-09-02;11:54;35.76;27.09;27.09;37.41
2015-09-02;12:00;34.72;26.45;25.48;37.73
2015-09-02;12:06;35.41;26.77;26.12;37.88
2015-09-02;12:12;35.06;26.77;27.09;35.2
2015-09-02;12:18;34.89;26.77;25.16;38.36
2015-09-02;12:24;35.06;26.45;27.09;36.94
2015-09-02;12:30;34.72;26.45;25.8;38.36
2015-09-02;12:36;34.37;27.41;27.74;35.99
2015-09-02;12:42;34.37;27.41;28.38;35.2
2015-09-02;12:48;35.06;26.12;25.16;37.88
2015-09-02;12:54;35.24;27.09;27.09;36.78
2015-09-02;13:00;;;24.83;37.1
2015-09-02;13:06;33.85;26.45;25.16;38.2
2015-09-02;13:12;34.37;26.45;25.8;35.2
2015-09-02;13:18;33.5;26.45;25.16;37.73
2015-09-02;13:24;34.02;26.12;24.19;38.52
2015-09-02;13:30;34.37;25.16;25.48;37.57
2015-09-02;13:36;34.2;26.12;25.16;36.31
2015-09-02;13:42;33.85;26.12;25.48;37.41
2015-09-02;13:48;34.37;26.12;27.09;35.68
2015-09-02;13:54;33.5;26.45;24.51;37.73
2015-09-02;14:00;33.5;26.12;26.45;35.99
2015-09-02;14:06;33.85;26.77;24.83;36.47
2015-09-02;14:12;33.68;25.8;26.12;36.31
2015-09-02;14:18;33.5;26.45;27.09;35.36
2015-09-02;14:24;33.5;26.45;24.83;38.2
2015-09-02;14:30;34.2;25.8;26.45;36.15
2015-09-02;14:36;34.2;26.45;27.09;35.52
2015-09-02;14:42;33.5;27.09;26.45;35.68
2015-09-02;14:48;34.02;26.77;26.12;38.99
2015-09-02;14:54;35.41;26.77;27.74;36.78
2015-09-02;15:00;35.58;27.09;25.8;40.88
2015-09-02;15:06;37.84;26.12;26.77;39.46
2015-09-02;15:12;38.01;26.77;26.12;39.62
2015-09-02;15:18;37.84;26.45;25.16;41.51
2015-09-02;15:24;38.53;25.8;25.8;40.57
2015-09-02;15:30;38.01;26.45;27.09;37.73
2015-09-02;15:36;37.66;26.77;25.16;39.93
2015-09-02;15:42;37.14;26.12;25.8;39.3
2015-09-02;15:48;37.14;26.45;27.09;37.1
2015-09-02;15:54;36.45;26.77;24.51;38.83
2015-09-02;16:00;35.58;26.12;26.77;37.25
2015-09-02;16:06;35.24;26.77;25.16;37.41
2015-09-02;16:12;34.02;25.8;25.8;36.94
2015-09-02;16:18;34.72;26.45;26.45;34.89
2015-09-02;16:24;33.85;26.45;25.48;37.88
2015-09-02;16:30;34.54;26.12;;
2015-09-02;16:36;34.02;26.45;26.45;36.15
2015-09-02;16:42;34.02;26.77;27.09;35.05
2015-09-02;16:48;33.68;27.09;27.41;35.2
2015-09-02;16:54;33.33;26.45;26.12;35.68
2015-09-02;17:00;35.06;26.12;25.8;38.04
2015-09-02;17:06;34.54;26.45;26.77;36.62
2015-09-02;17:12;34.89;26.77;27.09;35.68
2015-09-02;17:18;34.72;26.77;27.41;35.52
2015-09-02;17:24;34.2;26.77;27.41;35.68
2015-09-02;17:30;34.37;27.09;27.74;35.36
2015-09-02;17:36;35.06;27.09;27.74;35.68
2015-09-02;17:42;34.72;27.09;27.74;35.68
2015-09-02;17:48;34.89;26.77;26.12;35.84
2015-09-02;17:54;35.58;26.45;26.12;38.52
2015-09-02;18:00;35.76;26.77;26.77;36.47
2015-09-02;18:06;35.76;26.77;27.41;36.15
2015-09-02;18:12;35.41;27.09;27.41;36.31
2015-09-02;18:18;35.41;27.09;27.74;35.99
2015-09-02;18:24;34.89;26.45;25.8;36.31
2015-09-02;18:30;35.76;26.45;26.12;37.73
2015-09-02;18:36;35.06;26.77;26.77;36.62
2015-09-02;18:42;35.06;26.77;27.09;36.31
2015-09-02;18:48;35.06;26.77;27.41;36.15
2015-09-02;18:54;34.54;26.77;27.41;36.31
2015-09-02;19:00;34.54;26.77;27.41;36.15
2015-09-02;19:06;34.54;26.77;27.41;35.99
2015-09-02;19:12;35.24;26.77;27.41;35.99
2015-09-02;19:18;35.06;26.77;27.41;36.15
2015-09-02;19:24;35.41;26.77;27.41;36.15
2015-09-02;19:30;35.24;26.77;27.41;36.15
2015-09-02;19:36;35.24;26.77;27.41;36.31
2015-09-02;19:42;35.58;26.77;27.41;36.15
2015-09-02;19:48;35.41;26.77;27.41;36.15
2015-09-02;19:54;35.76;26.77;27.41;36.15
2015-09-02;20:00;35.76;26.77;27.41;35.84
2015-09-02;20:06;35.93;26.77;27.41;36.15
2015-09-02;20:12;35.76;26.77;27.41;36.31
2015-09-02;20:18;35.58;26.77;27.41;36.47
2015-09-02;20:24;35.93;26.77;27.41;36.47
2015-09-02;20:30;36.1;26.45;27.41;36.47
2015-09-02;20:36;36.1;26.77;27.41;36.47
2015-09-02;20:42;36.1;26.77;27.41;36.62
2015-09-02;20:48;36.28;26.77;27.41;36.62
2015-09-02;20:54;36.28;26.77;27.09;36.62
2015-09-02;21:00;36.45;26.77;27.09;36.62
2015-09-02;21:06;36.62;26.77;27.41;36.62
2015-09-02;21:12;36.97;26.77;27.09;36.62
2015-09-02;21:18;36.97;26.77;27.41;36.94
2015-09-02;21:24;37.14;26.77;27.41;36.94
2015-09-02;21:30;37.32;26.77;27.41;36.94
2015-09-02;21:36;37.66;26.77;27.41;36.94
2015-09-02;21:42;37.84;26.45;27.41;36.94
2015-09-02;21:48;37.84;26.77;27.09;36.94
2015-09-02;21:54;37.84;26.77;27.41;37.25
2015-09-02;22:00;37.32;26.77;27.41;37.41
2015-09-02;22:06;37.49;26.77;27.09;37.25
2015-09-02;22:12;37.84;26.45;27.41;37.25
2015-09-02;22:18;38.18;26.45;27.41;37.41
2015-09-02;22:24;38.7;26.77;27.41;37.57
2015-09-02;22:30;38.18;26.77;27.09;37.73
2015-09-02;22:36;38.36;26.77;27.41;37.73
2015-09-02;22:42;38.53;26.45;27.09;37.88
2015-09-02;22:48;38.36;26.45;27.09;37.88
2015-09-02;22:54;38.36;26.45;27.09;38.04
2015-09-02;23:00;38.53;26.77;27.09;38.04
2015-09-02;23:06;38.53;26.45;27.09;37.88
2015-09-02;23:12;38.7;26.45;27.09;37.73
2015-09-02;23:18;38.88;26.45;27.09;37.88
2015-09-02;23:24;38.53;26.45;27.09;37.88
2015-09-02;23:30;39.22;26.45;27.09;37.88
2015-09-02;23:36;39.4;26.45;27.09;37.88
2015-09-02;23:42;39.22;26.45;27.09;38.04
2015-09-02;23:48;39.05;26.45;27.09;38.2
2015-09-02;23:54;38.7;26.45;27.09;38.2
2015-09-03;00:00;38.7;26.45;27.09;38.2
2015-09-03;00:06;39.4;26.45;27.09;38.36
2015-09-03;00:12;39.22;26.45;27.09;38.52
2015-09-03;00:18;38.7;26.45;27.09;38.67
2015-09-03;00:24;39.4;26.45;27.09;38.83
2015-09-03;00:30;39.4;26.45;27.09;38.67
2015-09-03;00:36;39.22;26.45;27.09;38.83
2015-09-03;00:42;39.4;26.45;27.09;38.99
2015-09-03;00:48;39.57;26.45;27.09;38.99
2015-09-03;00:54;39.92;26.45;27.09;38.99
2015-09-03;01:00;39.75;26.45;27.09;38.99
2015-09-03;01:06;;;27.09;38.99
2015-09-03;01:12;39.4;26.45;27.09;38.67
2015-09-03;01:18;39.22;26.45;27.09;38.83
2015-09-03;01:24;39.4;26.45;27.09;38.83
2015-09-03;01:30;39.4;26.45;27.09;38.52
2015-09-03;01:36;39.22;26.45;;
2015-09-03;01:42;39.22;26.45;27.09;38.83
2015-09-03;01:48;39.22;26.45;27.09;38.52
2015-09-03;01:54;39.57;26.45;27.09;38.52
2015-09-03;02:00;39.05;26.45;27.09;38.99
2015-09-03;02:06;39.4;26.45;27.09;38.99
2015-09-03;02:12;39.05;26.45;27.09;38.99
2015-09-03;02:18;39.57;26.45;27.09;38.67
2015-09-03;02:24;39.4;26.45;27.09;38.83
2015-09-03;02:30;39.57;26.45;27.09;38.67
2015-09-03;02:36;39.92;26.45;27.09;38.83
2015-09-03;02:42;39.22;26.45;27.09;38.99
2015-09-03;02:48;39.22;26.45;27.09;38.99
2015-09-03;02:54;39.75;26.12;27.09;38.67
2015-09-03;03:00;39.57;26.45;27.09;38.99
2015-09-03;03:06;40.09;26.45;27.09;38.83
2015-09-03;03:12;39.57;26.45;26.77;38.52
2015-09-03;03:18;39.75;26.45;27.09;38.67
2015-09-03;03:24;39.4;26.12;27.09;38.52
2015-09-03;03:30;39.75;26.12;26.77;38.67
2015-09-03;03:36;39.75;26.12;27.09;38.67
