date;time;temp@3.5;umid@3.5
2015-06-21;18:00;23.705;41.74
2015-06-21;18:06;23.87;43.73
2015-06-21;18:12;23.87;43.21
2015-06-21;18:18;23.705;41.22
2015-06-21;18:24;23.705;41.13
2015-06-21;18:30;24.35;41.22
2015-06-21;18:36;23.87;41.045
2015-06-21;18:42;24.025;40.96
2015-06-21;18:48;24.83;43.04
2015-06-21;19:00;24.67;40.96
2015-06-21;19:06;23.705;41.13
2015-06-21;19:12;23.865;41.39
2015-06-21;19:18;24.35;41.13
2015-06-21;19:24;23.705;41.13
2015-06-21;19:30;23.54;41.305
2015-06-21;19:36;23.705;41.045
2015-06-21;19:42;24.185;41.13
2015-06-21;19:48;23.54;39.4
2015-06-21;20:00;24.67;41.305
2015-06-21;20:06;24.35;40.955
2015-06-21;20:12;23.87;41.305
2015-06-21;20:18;23.54;39.57
2015-06-21;20:24;23.54;39.57
2015-06-21;20:30;24.03;41.305
2015-06-21;20:36;23.705;41.915
2015-06-21;20:42;24.025;41.655
2015-06-21;21:00;23.705;42.0
2015-06-21;21:06;23.705;42.175
2015-06-21;21:12;23.54;42.085
2015-06-21;21:18;23.865;42.175
2015-06-21;21:24;23.54;42.435
2015-06-21;21:30;23.54;42.52
2015-06-21;21:36;23.54;42.26
2015-06-21;21:42;25.64;42.35
2015-06-21;22:00;23.38;42.52
2015-06-21;22:06;23.87;44.77
2015-06-21;22:12;23.54;44.43
2015-06-21;22:18;23.54;42.52
2015-06-21;22:24;23.54;42.52
2015-06-21;22:30;23.54;42.695
2015-06-21;22:36;23.38;42.78
2015-06-21;22:42;23.545;42.695
2015-06-21;22:48;23.54;44.95
2015-06-21;23:00;23.87;44.77
2015-06-21;23:06;23.38;43.125
2015-06-21;23:12;23.38;43.215
2015-06-21;23:18;23.54;44.77
2015-06-21;23:24;23.22;41.48
2015-06-21;23:30;23.87;45.64
2015-06-21;23:36;23.22;44.95
2015-06-21;23:48;23.54;44.95
2015-06-21;23:54;25.475;43.3
2015-06-22;00:00;25.8;43.65
2015-06-22;00:06;23.38;43.3
2015-06-22;00:12;23.54;43.56
2015-06-22;00:18;23.22;43.735
2015-06-22;00:24;23.54;45.3
2015-06-22;00:30;23.54;43.91
2015-06-22;00:36;23.22;43.82
2015-06-22;00:42;23.705;43.905
2015-06-22;00:48;23.54;43.82
2015-06-22;00:54;23.54;43.735
2015-06-22;01:00;23.38;43.82
2015-06-22;01:06;23.22;41.83
2015-06-22;01:12;23.54;41.83
2015-06-22;01:18;23.38;43.735
2015-06-22;01:24;23.705;43.905
2015-06-22;01:30;23.38;43.91
2015-06-22;01:36;23.54;43.65
2015-06-22;01:42;24.35;43.82
2015-06-22;01:48;23.54;43.735
2015-06-22;01:54;23.38;44.17
2015-06-22;02:00;23.38;43.905
2015-06-22;02:06;23.54;43.82
2015-06-22;02:12;23.865;43.995
2015-06-22;02:18;23.865;44.08
2015-06-22;02:24;23.38;43.82
2015-06-22;02:30;24.19;42.35
2015-06-22;02:36;23.38;44.165
2015-06-22;02:42;23.54;44.255
2015-06-22;02:48;23.545;44.34
2015-06-22;02:54;24.19;43.995
2015-06-22;03:00;23.38;44.165
2015-06-22;03:06;23.38;44.255
2015-06-22;03:12;23.705;44.17
2015-06-22;03:18;23.38;44.08
2015-06-22;03:24;23.22;44.08
2015-06-22;03:30;24.67;44.17
2015-06-22;03:36;23.22;43.91
2015-06-22;03:42;23.38;43.565
2015-06-22;03:48;23.54;45.82
2015-06-22;03:54;23.22;45.64
2015-06-22;04:00;23.22;43.735
2015-06-22;04:06;23.865;43.645
2015-06-22;04:12;23.54;45.64
2015-06-22;04:18;23.22;45.12
2015-06-22;04:24;23.54;45.47
2015-06-22;04:30;23.22;43.565
2015-06-22;04:36;23.22;43.13
2015-06-22;04:42;23.22;43.215
2015-06-22;04:48;26.77;41.31
2015-06-22;04:54;23.22;41.48
2015-06-22;05:00;23.38;43.215
2015-06-22;05:06;23.22;43.125
2015-06-22;05:12;23.22;43.3
2015-06-22;05:18;23.22;43.215
2015-06-22;05:24;23.22;42.78
2015-06-22;05:30;23.22;43.13
2015-06-22;05:36;23.87;43.125
2015-06-22;05:42;23.22;44.43
2015-06-22;05:48;24.025;43.215
2015-06-22;05:54;23.38;43.13
2015-06-22;06:00;23.22;42.78
2015-06-22;06:06;23.22;42.95
2015-06-22;06:12;23.22;42.69
2015-06-22;06:18;23.545;43.04
2015-06-22;06:24;23.06;42.61
2015-06-22;06:30;23.22;42.69
2015-06-22;06:36;23.22;42.78
2015-06-22;06:42;23.22;44.43
2015-06-22;06:48;23.38;42.52
2015-06-22;06:54;23.545;42.605
2015-06-22;07:06;23.87;42.78
2015-06-22;07:12;23.22;42.52
2015-06-22;07:18;23.22;42.605
2015-06-22;07:24;23.545;42.605
2015-06-22;07:30;23.06;42.435
2015-06-22;07:36;23.06;42.345
2015-06-22;07:42;23.06;42.695
2015-06-22;07:48;23.06;42.69
2015-06-22;07:54;23.38;42.955
2015-06-22;08:00;23.545;42.52
2015-06-22;08:06;23.54;42.52
2015-06-22;08:12;23.54;41.825
2015-06-22;08:18;23.54;43.73
2015-06-22;08:24;23.87;39.05
2015-06-22;08:30;23.705;41.13
2015-06-22;08:36;23.705;41.045
2015-06-22;08:42;23.865;40.7
2015-06-22;08:48;23.705;40.525
2015-06-22;08:54;23.865;40.525
2015-06-22;09:00;23.87;41.13
2015-06-22;09:06;24.025;41.475
2015-06-22;09:12;24.19;39.22
2015-06-22;09:18;24.19;40.96
2015-06-22;09:24;23.87;41.045
2015-06-22;09:30;24.03;40.87
2015-06-22;09:36;24.03;40.875
2015-06-22;09:42;25.48;40.355
2015-06-22;09:48;24.19;40.005
2015-06-22;09:54;24.03;39.915
2015-06-22;10:00;24.19;39.66
