date;time;temp@3.5;umid@3.5
2015-07-01;10:18;25.32;43.91
2015-07-01;10:24;25.64;44.515
2015-07-01;10:30;24.83;46.34
2015-07-01;10:36;25.16;45.64
2015-07-01;10:42;24.83;46.16
2015-07-01;11:00;25.8;41.31
2015-07-01;11:06;26.12;42.865
2015-07-01;11:12;26.12;43.04
2015-07-01;11:18;26.605;42.955
2015-07-01;11:24;25.965;43.3
2015-07-01;11:30;26.125;43.04
2015-07-01;11:36;26.77;43.13
2015-07-01;11:42;26.285;43.04
2015-07-01;12:00;25.96;42.865
2015-07-01;12:06;25.8;43.3
2015-07-01;12:12;25.96;43.39
2015-07-01;12:18;25.96;43.385
2015-07-01;12:24;27.09;40.96
2015-07-01;12:30;26.12;45.99
2015-07-01;12:36;25.8;45.47
2015-07-01;12:42;26.77;45.99
2015-07-01;12:48;26.12;45.82
2015-07-01;13:00;26.285;43.82
2015-07-01;13:06;25.8;44.6
2015-07-01;13:12;25.48;47.55
2015-07-01;13:18;25.32;45.125
2015-07-01;13:24;27.09;45.035
2015-07-20;16:18;26.77;52.75
2015-07-20;16:24;26.605;55.005
2015-07-20;16:30;26.77;54.835
2015-07-20;16:36;26.61;55.095
2015-07-20;16:42;26.61;55.27
2015-07-20;16:48;26.61;55.01
2015-07-20;16:54;26.61;55.01
2015-07-20;17:00;26.45;57.26
2015-07-20;17:06;26.61;54.92
2015-07-20;17:12;26.445;54.835
2015-07-20;17:18;26.61;55.095
2015-07-20;17:24;26.61;54.485
2015-07-20;17:30;26.61;53.62
2015-07-20;17:36;26.77;53.62
2015-07-20;17:42;26.61;53.705
2015-07-20;17:48;27.095;53.185
2015-07-20;17:54;26.61;54.23
2015-07-20;18:00;26.93;53.36
2015-07-20;18:06;26.93;53.795
2015-07-20;18:12;26.605;53.88
2015-07-20;18:18;26.93;53.71
2015-07-20;18:24;26.77;56.22
2015-07-20;18:30;26.77;53.62
2015-07-20;18:36;27.255;53.53
2015-07-20;18:42;27.255;53.445
2015-07-20;18:48;26.93;53.445
2015-07-20;18:54;26.93;53.355
2015-07-20;19:00;27.09;53.445
2015-07-20;19:06;26.77;53.36
2015-07-20;19:12;27.09;53.01
2015-07-20;19:18;27.09;52.835
2015-07-20;19:24;26.77;52.925
2015-07-20;19:30;26.77;52.575
2015-07-20;19:36;27.09;52.495
2015-07-20;19:42;26.77;52.75
2015-07-20;20:00;26.61;52.405
2015-07-20;20:06;27.74;49.8
2015-07-20;20:12;26.77;49.8
2015-07-20;20:18;27.09;49.8
2015-07-20;20:24;27.255;52.32
2015-07-20;20:30;26.445;52.405
