date;time;temp@3.5;umid@3.5
2015-05-01;07:00;21.77;38.705
2015-05-01;07:06;21.125;38.88
2015-05-01;07:12;21.125;38.53
2015-05-01;07:18;21.29;38.705
2015-05-01;07:24;21.125;38.79
2015-05-01;07:30;21.125;38.79
2015-05-01;07:36;21.125;38.62
2015-05-01;07:42;20.96;36.62
2015-05-01;07:48;20.96;40.61
2015-05-01;07:54;20.96;38.615
2015-05-01;08:00;21.445;38.705
2015-05-01;08:06;21.285;39.05
2015-05-01;08:12;21.605;39.05
2015-05-01;08:18;21.285;39.315
2015-05-01;08:24;21.29;39.315
2015-05-01;08:30;21.61;39.05
2015-05-01;08:36;23.06;39.05
2015-05-01;08:42;21.45;39.225
2015-05-01;08:48;21.29;39.135
2015-05-01;08:54;21.29;38.705
2015-05-01;09:00;21.29;38.965
2015-05-01;09:06;21.29;38.965
2015-05-01;09:12;21.45;39.055
2015-05-01;09:18;21.45;39.14
2015-05-01;09:24;21.29;39.14
2015-05-01;09:30;21.29;39.135
2015-05-01;09:36;21.45;39.485
2015-05-01;09:42;21.29;39.575
2015-05-01;09:48;21.45;39.395
2015-05-01;09:54;21.61;39.485
2015-05-01;10:00;21.61;39.66
2015-05-01;10:06;21.29;39.66
2015-05-01;10:12;21.61;39.745
2015-05-01;10:18;21.61;39.66
2015-05-01;10:24;21.45;39.575
2015-05-01;10:30;21.45;39.655
2015-05-01;10:36;21.61;37.49
2015-05-01;10:42;21.61;41.65
2015-05-01;10:48;21.61;39.575
2015-05-01;10:54;21.77;39.745
2015-05-01;11:00;21.45;40.005
2015-05-01;11:06;21.935;40.005
2015-05-01;11:12;21.45;39.745
2015-05-01;11:18;21.77;39.4
2015-05-01;11:24;21.61;39.485
2015-05-01;11:30;21.77;39.57
2015-05-01;11:36;21.77;39.31
2015-05-01;11:42;21.93;39.395
2015-05-01;11:48;21.77;39.225
2015-05-01;11:54;21.61;39.14
2015-05-01;12:00;21.45;39.135
2015-05-01;12:06;21.93;38.965
2015-05-01;12:12;21.77;38.965
2015-05-01;12:18;21.77;38.88
2015-05-01;12:24;21.45;38.705
2015-05-01;12:30;21.61;39.055
2015-05-01;12:36;21.77;38.705
2015-05-01;12:42;21.93;38.875
2015-05-01;12:48;22.095;38.62
2015-05-01;12:54;21.61;38.79
2015-05-01;13:00;21.61;39.055
2015-05-01;13:06;21.61;38.705
2015-05-01;13:12;22.09;38.88
2015-05-01;13:18;21.45;38.79
2015-05-01;13:24;21.61;37.14
2015-05-01;13:30;21.93;39.055
2015-05-01;13:36;21.61;41.13
2015-05-01;13:42;21.61;38.79
2015-05-01;13:48;21.61;39.05
2015-05-01;13:54;21.61;38.965
2015-05-01;14:00;21.29;38.88
2015-05-01;14:06;21.45;38.965
2015-05-01;14:12;21.61;39.14
2015-05-01;14:18;21.45;39.225
2015-05-01;14:24;21.45;39.395
2015-05-01;14:30;21.29;39.485
2015-05-01;14:36;21.77;39.485
2015-05-01;14:42;21.125;39.92
2015-05-01;14:48;23.22;39.92
2015-05-01;14:54;21.285;39.745
2015-05-01;15:00;21.125;39.915
2015-05-01;15:06;21.125;39.92
2015-05-01;15:12;21.125;40.09
2015-05-01;15:18;21.77;40.265
2015-05-01;15:24;21.125;40.35
2015-05-01;15:30;20.96;40.44
2015-05-01;15:36;20.96;40.61
2015-05-01;15:42;21.445;40.695
2015-05-01;15:48;21.125;41.045
2015-05-01;15:54;21.125;41.22
2015-05-01;16:00;20.8;41.48
2015-05-01;16:06;20.96;41.39
2015-05-01;16:12;21.29;41.39
2015-05-01;16:18;20.96;39.57
2015-05-01;16:24;20.8;41.655
2015-05-01;16:30;20.96;43.39
2015-05-01;16:36;21.125;42.26
