date;time;temp@3.5;umid@3.5
2015-08-01;06:12;24.995;43.645
2015-08-01;06:18;24.83;43.735
2015-08-01;06:24;24.995;43.905
2015-08-01;06:30;25.155;43.82
2015-08-01;06:36;25.16;43.65
2015-08-01;06:42;25.16;46.34
2015-08-01;06:48;25.155;43.735
2015-08-01;06:54;25.16;43.995
2015-08-01;07:00;24.995;43.82
2015-08-01;07:18;24.83;41.83
2015-08-01;07:24;24.83;43.91
2015-08-01;07:30;25.16;41.48
2015-08-01;07:42;25.16;45.82
2015-08-01;07:48;24.83;44.345
2015-08-01;07:54;25.32;44.605
2015-08-01;08:00;25.16;44.685
2015-08-01;08:06;25.475;44.775
2015-08-01;08:12;24.83;43.39
2015-08-01;08:18;24.83;42.69
2015-08-01;08:24;25.32;44.86
2015-08-01;08:30;24.83;46.51
2015-08-01;08:36;24.83;45.035
2015-08-01;08:42;25.16;47.38
2015-08-01;08:48;24.83;47.2
2015-08-01;08:54;24.995;45.47
2015-08-01;09:00;25.16;43.73
2015-08-01;09:06;24.83;43.91
2015-08-01;09:12;24.51;43.73
2015-08-01;09:18;24.51;44.08
2015-08-01;09:30;24.995;45.905
2015-08-01;09:36;24.995;46.075
2015-08-01;09:42;24.51;44.08
2015-08-01;09:48;24.83;43.91
2015-08-01;10:00;24.51;44.6
2015-08-01;10:06;24.51;44.08
2015-08-01;10:12;24.83;47.38
2015-08-01;10:18;24.67;46.165
2015-08-01;10:24;24.835;46.335
2015-08-01;10:30;24.51;48.42
2015-08-01;10:36;24.51;47.55
2015-08-01;10:42;24.835;46.595
2015-08-01;10:48;24.83;45.47
2015-08-01;10:54;24.51;44.95
2015-08-01;11:00;24.51;48.42
2015-08-01;11:06;24.83;48.24
2015-08-01;11:12;24.51;47.115
2015-08-01;11:18;24.51;46.595
2015-08-01;11:24;24.51;46.855
2015-08-01;11:30;24.51;45.82
2015-08-01;11:36;24.83;46.34
2015-08-01;11:42;24.51;46.16
2015-08-01;11:54;24.83;48.24
2015-08-01;12:00;24.51;47.29
2015-08-01;12:06;24.51;47.64
2015-08-01;12:12;24.51;45.99
2015-08-01;12:24;24.83;48.76
2015-08-01;12:30;25.475;47.115
2015-08-01;12:36;24.51;47.03
2015-08-01;12:42;24.835;46.945
2015-08-01;12:48;24.67;47.03
2015-08-01;12:54;24.835;47.03
2015-08-01;13:06;24.51;45.64
2015-08-01;13:12;24.67;46.68
2015-08-01;13:18;25.64;46.685
2015-08-01;13:24;24.995;46.335
2015-08-01;13:30;24.51;46.595
2015-08-01;13:36;24.995;46.505
2015-08-01;13:42;24.51;46.335
2015-08-01;13:48;24.51;46.51
2015-08-01;13:54;24.51;46.25
2015-08-01;14:00;24.67;46.075
2015-08-01;14:06;24.83;45.9
2015-08-01;14:12;24.51;44.08
2015-08-01;14:18;24.835;45.9
2015-08-01;14:24;24.51;45.555
2015-08-01;14:30;24.35;45.64
2015-08-01;14:36;24.51;45.815
2015-08-01;14:42;24.35;45.725
2015-08-01;14:48;24.83;47.38
2015-08-01;14:54;24.83;47.38
2015-08-01;15:00;24.995;45.205
2015-08-01;15:06;24.67;45.12
2015-08-01;15:12;24.83;46.51
2015-08-01;15:18;24.83;46.34
2015-08-01;15:24;24.51;46.51
2015-08-01;15:30;24.67;44.69
2015-08-01;15:36;24.51;44.69
2015-08-01;15:42;24.51;44.945
2015-08-01;15:48;24.83;42.87
2015-08-01;15:54;24.83;43.21
2015-08-01;16:00;24.83;46.86
2015-08-01;16:06;24.83;47.2
2015-08-01;16:18;24.51;46.86
2015-08-01;16:24;24.51;47.03
2015-08-01;16:30;24.995;45.385
2015-08-01;16:36;24.51;47.38
2015-08-01;17:00;24.67;46.42
2015-08-01;17:06;24.835;46.51
2015-08-01;17:12;24.67;45.725
2015-08-01;17:18;24.995;45.99
2015-08-01;17:24;24.67;46.505
2015-08-01;17:36;24.51;45.47
2015-08-01;17:42;25.16;48.59
2015-08-01;17:48;26.45;48.42
2015-08-01;17:54;24.83;48.59
2015-08-01;18:12;24.83;45.12
2015-08-01;18:18;24.51;45.47
2015-08-01;18:24;24.51;45.64
2015-08-01;18:30;24.19;48.94
